-0.400391 -1.25051
-0.400925 -1.25

-0.390625 -1.25992
-0.390789 -1.25977

-0.400391 -1.2505
-0.390787 -1.25977

-0.3125 -1.33825
-0.322351 -1.32812

-0.351562 -1.29842
-0.360928 -1.28906

-0.371094 -1.27902
-0.380759 -1.26953

-0.390625 -1.25992
-0.380859 -1.26943

-0.380859 -1.26942
-0.38075 -1.26953

-0.361328 -1.28867
-0.370812 -1.2793

-0.371094 -1.27901
-0.370801 -1.2793

-0.361328 -1.28865
-0.360916 -1.28906

-0.332031 -1.31821
-0.34149 -1.30859

-0.341797 -1.30828
-0.351162 -1.29883

-0.351562 -1.29839
-0.351129 -1.29883

-0.341797 -1.30827
-0.341476 -1.30859

-0.322349 -1.32812
-0.331894 -1.31836

-0.332031 -1.31821
-0.331883 -1.31836

-0.0878906 -1.56437
-0.0899077 -1.5625

-0.078125 -1.57333
-0.0792925 -1.57227

-0.0878906 -1.5643
-0.0792424 -1.57227

0 -1.64129
-0.000809958 -1.64062

-0.0390625 -1.6082
-0.0466984 -1.60156

-0.0683594 -1.5822
-0.0685427 -1.58203

-0.0683594 -1.58219
-0.0585938 -1.59097

-0.078125 -1.5733
-0.0685343 -1.58203

-0.0488281 -1.59964
-0.057667 -1.5918

-0.0585938 -1.59096
-0.0576481 -1.5918

-0.0488281 -1.59954
-0.0465248 -1.60156

-0.0195312 -1.62495
-0.024133 -1.62109

-0.0292969 -1.61665
-0.0355427 -1.61133

-0.0390625 -1.60812
-0.0353386 -1.61133

-0.0292969 -1.61665
-0.0240138 -1.62109

-0.00976562 -1.63319
-0.0125711 -1.63086

-0.0195312 -1.62495
-0.0124929 -1.63086

-0.00976562 -1.63317
-0.000761071 -1.64062

-0.244141 -1.40916
-0.246934 -1.40625

-0.234375 -1.41931
-0.237552 -1.41602

-0.244141 -1.40904
-0.237459 -1.41602

-0.166016 -1.48897
-0.17061 -1.48438

-0.15625 -1.49869
-0.160831 -1.49414

-0.166016 -1.48884
-0.160696 -1.49414

-0.205078 -1.44947
-0.209124 -1.44531

-0.195312 -1.45946
-0.199612 -1.45508

-0.205078 -1.44935
-0.199488 -1.45508

-0.224609 -1.42937
-0.228072 -1.42578

-0.214844 -1.43947
-0.218652 -1.43555

-0.224609 -1.42928
-0.218562 -1.43555

-0.234375 -1.41916
-0.228004 -1.42578

-0.214844 -1.43932
-0.209022 -1.44531

-0.185547 -1.46932
-0.189955 -1.46484

-0.175781 -1.4792
-0.180342 -1.47461

-0.185547 -1.46923
-0.180238 -1.47461

-0.195312 -1.45929
-0.189853 -1.46484

-0.175781 -1.47906
-0.170472 -1.48438

-0.283203 -1.36852
-0.284492 -1.36719

-0.273438 -1.37867
-0.275088 -1.37695

-0.283203 -1.3684
-0.274991 -1.37695

-0.302734 -1.34829
-0.303346 -1.34766

-0.292969 -1.35837
-0.293889 -1.35742

-0.302734 -1.34826
-0.293844 -1.35742

-0.3125 -1.33823
-0.303322 -1.34766

-0.292969 -1.35831
-0.284398 -1.36719

-0.263672 -1.3888
-0.265669 -1.38672

-0.253906 -1.39901
-0.256331 -1.39648

-0.263672 -1.38872
-0.256276 -1.39648

-0.273438 -1.37854
-0.265627 -1.38672

-0.253906 -1.39888
-0.246869 -1.40625

-0.126953 -1.52741
-0.131059 -1.52344

-0.117188 -1.53674
-0.120896 -1.5332

-0.126953 -1.52729
-0.120782 -1.5332

-0.146484 -1.50834
-0.150991 -1.50391

-0.136719 -1.51786
-0.141021 -1.51367

-0.146484 -1.50824
-0.140929 -1.51367

-0.15625 -1.49855
-0.150836 -1.50391

-0.136719 -1.51776
-0.130868 -1.52344

-0.107422 -1.54607
-0.1107 -1.54297

-0.0976562 -1.55522
-0.10031 -1.55273

-0.107422 -1.54603
-0.100232 -1.55273

-0.117188 -1.53668
-0.110549 -1.54297

-0.0976562 -1.5552
-0.0897911 -1.5625

-1.01562 -0.677042
-1.01785 -0.673828

-1.01788 -0.673828
-1.02464 -0.664062

-1.03516 -0.64842
-1.03772 -0.644531

-1.04492 -0.633406
-1.05026 -0.625

-1.03772 -0.644531
-1.04406 -0.634766

-1.04492 -0.633376
-1.04406 -0.634766

-1.02539 -0.662954
-1.03125 -0.654297

-1.03516 -0.648399
-1.03125 -0.654297

-1.02539 -0.662931
-1.02464 -0.664062

-0.996094 -0.70397
-0.996721 -0.703125

-0.976562 -0.729411
-0.981865 -0.722656

-0.986328 -0.716873
-0.989316 -0.712891

-0.996094 -0.703967
-0.989371 -0.712891

-0.986328 -0.716857
-0.981875 -0.722656

-0.957031 -0.753541
-0.958344 -0.751953

-0.958352 -0.751953
-0.966353 -0.742188

-0.947266 -0.765158
-0.950163 -0.761719

-0.9375 -0.776507
-0.941808 -0.771484

-0.947266 -0.765118
-0.941864 -0.771484

-0.957031 -0.753534
-0.950185 -0.761719

-0.966797 -0.741633
-0.974188 -0.732422

-0.976562 -0.729368
-0.97418 -0.732422

-0.966797 -0.741633
-0.96635 -0.742188

-1.00586 -0.6907
-1.01099 -0.683594

-0.996728 -0.703125
-1.00393 -0.693359

-1.00586 -0.69064
-1.00393 -0.693359

-1.01562 -0.677031
-1.01099 -0.683594

-0.771484 -0.938551
-0.772714 -0.9375

-0.771484 -0.938552
-0.761719 -0.946862

-0.742188 -0.963216
-0.749612 -0.957031

-0.751953 -0.955083
-0.761238 -0.947266

-0.761719 -0.946862
-0.76124 -0.947266

-0.751953 -0.955091
-0.749618 -0.957031

-0.722656 -0.979296
-0.726029 -0.976562

-0.712891 -0.987247
-0.714027 -0.986328

-0.722656 -0.979288
-0.714015 -0.986328

-0.712891 -0.987243
-0.703125 -0.995149

-0.732422 -0.971243
-0.737883 -0.966797

-0.742188 -0.963256
-0.73784 -0.966797

-0.732422 -0.971277
-0.725954 -0.976562

-0.673828 -1.01861
-0.677629 -1.01562

-0.664062 -1.0264
-0.665337 -1.02539

-0.673828 -1.01861
-0.665309 -1.02539

-0.625 -1.05741
-0.628475 -1.05469

-0.644531 -1.0419
-0.653027 -1.03516

-0.664062 -1.02638
-0.654297 -1.03415

-0.654297 -1.03414
-0.653012 -1.03516

-0.634766 -1.04963
-0.640722 -1.04492

-0.644531 -1.04195
-0.640714 -1.04492

-0.634766 -1.04963
-0.628376 -1.05469

-0.693359 -1.00301
-0.701951 -0.996094

-0.683594 -1.01081
-0.6898 -1.00586

-0.693359 -1.00305
-0.6898 -1.00586

-0.703125 -0.995147
-0.701946 -0.996094

-0.683594 -1.01083
-0.677555 -1.01562

-0.927734 -0.787586
-0.933284 -0.78125

-0.917969 -0.798392
-0.924622 -0.791016

-0.927734 -0.787558
-0.924659 -0.791016

-0.908203 -0.808969
-0.915769 -0.800781

-0.898438 -0.819327
-0.906728 -0.810547

-0.908203 -0.808967
-0.906729 -0.810547

-0.917969 -0.798384
-0.915782 -0.800781

-0.888672 -0.829477
-0.897501 -0.820312

-0.878906 -0.839427
-0.888088 -0.830078

-0.888672 -0.829477
-0.888088 -0.830078

-0.869141 -0.849185
-0.878493 -0.839844

-0.859375 -0.858766
-0.868711 -0.849609

-0.869141 -0.849186
-0.868713 -0.849609

-0.878906 -0.839427
-0.878493 -0.839844

-0.898438 -0.819328
-0.897499 -0.820312

-0.849609 -0.868178
-0.858745 -0.859375

-0.839844 -0.877429
