0 0 0 3.92695 -3.62371e-19 1.51057e-17
46 0.01 0 3.92695 2.75351e-08 -3.54419e-05
81 0.02 0 3.92695 1.20035e-07 -0.000134127
115 0.03 0 3.92695 3.84898e-07 -0.00029133
149 0.04 0 3.92694 1.12136e-06 -0.000503717
183 0.05 0 3.92695 1.64541e-06 -0.000772554
217 0.06 0 3.92695 3.82515e-06 -0.00109234
251 0.07 0 3.92694 5.68812e-06 -0.00146416
285 0.08 0 3.92694 8.44526e-06 -0.00188231
319 0.09 0 3.92695 1.23912e-05 -0.00234802
353 0.1 0 3.92693 1.73392e-05 -0.00286229
387 0.11 0 3.92694 2.37893e-05 -0.00341773
421 0.12 0 3.92694 3.14453e-05 -0.0040178
455 0.13 0 3.92694 4.0257e-05 -0.00466016
489 0.14 0 3.92695 5.11901e-05 -0.00534745
523 0.15 0 3.92694 6.51991e-05 -0.00607695
557 0.16 0 3.92693 8.05024e-05 -0.00685412
591 0.17 0 3.92694 9.8156e-05 -0.00766152
625 0.18 0 3.92694 0.000117132 -0.00850699
659 0.19 0 3.92694 0.000141977 -0.00939226
693 0.2 0 3.92695 0.000167001 -0.0103207
727 0.21 0 3.92694 0.000196025 -0.0112812
761 0.22 0 3.92695 0.000228899 -0.0122779
795 0.23 0 3.92695 0.000265233 -0.0133063
829 0.24 0 3.92694 0.000305642 -0.0143739
863 0.25 0 3.92694 0.000350279 -0.0154717
897 0.26 0 3.92694 0.000399939 -0.0166022
931 0.27 0 3.92694 0.000455396 -0.0177693
965 0.28 0 3.92694 0.000512557 -0.0189661
999 0.29 0 3.92693 0.000573991 -0.0201951
1033 0.3 0 3.92694 0.000644043 -0.0214533
1067 0.31 0 3.92695 0.000719723 -0.0227415
1101 0.32 0 3.92696 0.000801275 -0.0240581
1135 0.33 0 3.92696 0.000887857 -0.0254018
1169 0.34 0 3.92695 0.000981489 -0.0267777
1203 0.35 0 3.92695 0.00108237 -0.028179
1237 0.36 0 3.92695 0.00119037 -0.0296065
1271 0.37 0 3.92695 0.00130656 -0.0310594
1305 0.38 0 3.92695 0.00143178 -0.0325418
1339 0.39 0 3.92696 0.00156476 -0.0340464
1373 0.4 0 3.92695 0.00170509 -0.0355788
1407 0.41 0 3.92695 0.00184807 -0.0371342
1441 0.42 0 3.92695 0.00200816 -0.038713
1475 0.43 0 3.92696 0.00217203 -0.0403152
1509 0.44 0 3.92695 0.00234969 -0.0419399
1543 0.45 0 3.92695 0.00253102 -0.0435907
1577 0.46 0 3.92695 0.00272734 -0.0452626
1611 0.47 0 3.92696 0.00293342 -0.0469549
1645 0.48 0 3.92695 0.00315013 -0.0486674
1679 0.49 0 3.92696 0.00337687 -0.0504021
1713 0.5 0 3.92694 0.00361188 -0.0521623
1747 0.51 0 3.92696 0.00386251 -0.0539361
1781 0.52 0 3.92696 0.00412478 -0.0557283
1815 0.53 0 3.92695 0.00439824 -0.0575357
1849 0.54 0 3.92696 0.00468503 -0.0593707
1883 0.55 0 3.92696 0.00498328 -0.0612206
1917 0.56 0 3.92696 0.00529376 -0.0630868
1951 0.57 0 3.92696 0.00561885 -0.0649723
1985 0.58 0 3.92697 0.00595582 -0.0668732
2019 0.59 0 3.92696 0.00630606 -0.0687867
2053 0.6 0 3.92696 0.00667422 -0.0707241
2087 0.61 0 3.92696 0.00705045 -0.072669
2121 0.62 0 3.92697 0.00744436 -0.0746356
2155 0.63 0 3.92697 0.0078524 -0.0766128
2189 0.64 0 3.92696 0.00827751 -0.0786079
2223 0.65 0 3.92696 0.00871257 -0.080612
2257 0.66 0 3.92697 0.00916815 -0.0826358
2291 0.67 0 3.92697 0.00963697 -0.0846672
2325 0.68 0 3.92697 0.0101184 -0.0867162
2359 0.69 0 3.92697 0.0106198 -0.088773
2393 0.7 0 3.92697 0.0111396 -0.0908436
2427 0.71 0 3.92698 0.011673 -0.0929248
2461 0.72 0 3.92696 0.0122267 -0.0950234
2495 0.73 0 3.92697 0.0127962 -0.0971237
2529 0.74 0 3.92697 0.0133821 -0.0992395
2563 0.75 0 3.92698 0.0139859 -0.101364
2597 0.76 0 3.92697 0.0146071 -0.103498
2631 0.77 0 3.92697 0.0152482 -0.105643
2665 0.78 0 3.92697 0.0159081 -0.107798
2699 0.79 0 3.92698 0.016587 -0.109965
2733 0.8 0 3.92698 0.0172821 -0.112134
2767 0.81 0 3.92698 0.0180001 -0.114316
2801 0.82 0 3.92699 0.0187368 -0.116498
2835 0.83 0 3.92698 0.0194919 -0.118693
2869 0.84 0 3.92698 0.0202659 -0.120892
2903 0.85 0 3.92698 0.0210606 -0.123102
2937 0.86 0 3.92698 0.0218762 -0.125313
2971 0.87 0 3.92697 0.0227114 -0.127531
